country_code,year,records_count,institutions_count,institutions_with_student_data,institutions_with_funding_ppp_data,institutions_with_funding_eur_data,median_students_per_institution,median_funding_per_student_ppp,median_funding_per_student_eur,student_data_coverage,funding_ppp_data_coverage
FR,2014,375,375,321,102,102,1050.0,8024.024065600026,9040.66791471155,0.856,0.272
FR,2015,377,377,0,0,0,,,,0.0,0.0
FR,2017,212,212,123,109,109,7850.0,8561.758726516326,9599.187031408308,0.5801886792452831,0.5141509433962265
FR,2018,209,209,0,0,0,,,,0.0,0.0
FR,2019,205,205,117,108,108,8437.0,7181.058862103304,7794.608531281408,0.5707317073170731,0.526829268292683
FR,2020,202,202,116,114,114,9740.0,6932.915288797885,7521.450467663937,0.5742574257425742,0.5643564356435643
FR,2021,354,354,292,74,74,2099.5,6939.296242436497,7657.999154265644,0.8248587570621468,0.20903954802259886
FR,2022,782,782,778,115,115,616.0,8393.092683645182,9282.424784404227,0.9948849104859335,0.14705882352941177
FR,2023,816,816,690,119,119,614.5,8857.462368961955,9621.861371403373,0.8455882352941176,0.14583333333333334
GR,2014,49,49,45,0,0,11545.0,,,0.9183673469387755,0.0
GR,2015,47,47,45,0,0,14770.0,,,0.9574468085106383,0.0
GR,2016,47,47,45,0,0,14175.0,,,0.9574468085106383,0.0
GR,2017,47,47,45,0,0,14718.0,,,0.9574468085106383,0.0
GR,2018,46,46,44,0,0,14420.0,,,0.9565217391304348,0.0
GR,2019,47,47,45,0,0,12992.0,,,0.9574468085106383,0.0
GR,2020,47,47,45,0,0,13921.0,,,0.9574468085106383,0.0
GR,2021,47,47,45,0,0,15877.0,,,0.9574468085106383,0.0
GR,2022,45,45,43,0,0,16180.0,,,0.9555555555555556,0.0
GR,2023,43,43,43,0,0,14165.0,,,1.0,0.0
HR,2014,37,37,37,0,0,1060.0,,,1.0,0.0
HR,2015,37,37,37,0,0,1020.0,,,1.0,0.0
HR,2016,37,37,37,0,0,1025.0,,,1.0,0.0
HR,2017,39,39,39,0,0,1004.0,,,1.0,0.0
HR,2018,39,39,38,0,0,976.5,,,0.9743589743589743,0.0
HR,2019,39,39,38,0,0,921.5,,,0.9743589743589743,0.0
HR,2020,40,40,39,0,0,903.0,,,0.975,0.0
HR,2021,43,43,43,0,0,766.0,,,1.0,0.0
HR,2022,38,38,38,0,0,1040.0,,,1.0,0.0
HR,2023,37,37,37,0,0,885.0,,,1.0,0.0
HU,2014,52,52,52,52,52,1585.0,5610.686158027502,3281.5725804837216,1.0,1.0
HU,2015,50,50,50,28,28,1870.0,7313.307476006604,4349.058816780056,1.0,0.56
HU,2016,53,53,52,0,0,1542.5,,,0.9811320754716981,0.0
HU,2017,52,52,52,0,0,1396.0,,,1.0,0.0
HU,2018,52,52,52,0,0,1424.5,,,1.0,0.0
HU,2019,52,52,52,0,0,1466.5,,,1.0,0.0
HU,2020,51,51,51,0,0,1389.0,,,1.0,0.0
HU,2021,51,51,51,0,0,1324.0,,,1.0,0.0
HU,2022,50,50,50,0,0,1538.5,,,1.0,0.0
HU,2023,50,50,50,0,0,1986.0,,,1.0,0.0
IE,2014,27,27,27,23,23,4630.0,8009.081258657491,9152.057245080501,1.0,0.8518518518518519
IE,2015,27,27,27,26,26,4780.0,8311.15008379834,9359.019886363636,1.0,0.9629629629629629
IE,2016,25,25,25,24,24,5745.0,8006.263682181174,9154.682144753242,1.0,0.96
IE,2017,25,25,25,24,24,5915.0,8230.595816389074,9519.095591444784,1.0,0.96
IE,2018,25,25,25,24,24,6071.0,8841.6891285372,10329.126490631013,1.0,0.96
IE,2019,23,23,23,22,22,6739.0,8569.597254410604,10463.821031525526,1.0,0.9565217391304348
IE,2020,22,22,22,21,21,8050.0,9262.545059415854,11243.525571273123,1.0,0.9545454545454546
IE,2021,18,18,18,14,14,15135.0,10193.563195411643,12015.56068095952,1.0,0.7777777777777778
IE,2022,18,18,18,0,0,14600.0,,,1.0,0.0
IE,2023,18,18,18,16,16,14445.0,13701.262680901751,16239.4215925388,1.0,0.8888888888888888
IS,2014,7,7,7,0,0,470.0,,,1.0,0.0
IS,2015,7,7,0,0,0,,,,0.0,0.0
IS,2016,7,7,0,0,0,,,,0.0,0.0
IS,2017,7,7,7,2,2,437.0,8914.466155393844,14887.986769045969,1.0,0.2857142857142857
IS,2018,7,7,7,2,2,522.0,8633.143781845853,14032.757027338603,1.0,0.2857142857142857
IS,2019,7,7,7,1,1,576.0,10092.26022121339,15674.247592545784,1.0,0.14285714285714285
IS,2020,7,7,7,2,2,753.0,19195.72619253059,27845.164703385777,1.0,0.2857142857142857
IS,2021,7,7,7,2,2,769.0,19083.94412376273,28411.118546155856,1.0,0.2857142857142857
IS,2022,7,7,5,3,3,648.0,11260.857955056512,17300.18971195673,0.7142857142857143,0.42857142857142855
IS,2023,7,7,7,1,1,678.0,11124.337523695913,16462.64698889925,1.0,0.14285714285714285
